Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Left.mem.card,Right.mem.card,Rear.mem.card,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCBP10,,,20210907,7:54,9:00,,Pt Cloates,,81,,,,31,32,20,208,215,42,"Watched BRUV for 15 mins. Fans, big red",RAW2,,,,,,,,,,
PCBP15,,,20210907,8:19,9:21,,Pt Cloates,,88,,,,41,42,23,218,240,58,Sandy but red,RAW2,,,,,,,,,,
PCBP9,,,20210907,8:36,9:40,,Pt Cloates,,80,,,,37,38,24,242,244,61,,RAW2,,,,,,,,,,
PCB30,,,20210907,8:41,9:53,,Pt Cloates,,92,,,,39,40,25,246,250,62,,RAW2,,,,,,,,,,
PCBP8,,,20210907,8:45,10:01,,Pt Cloates,,78,,,,33,34,21,230,231,55,,RAW2,,,,,,,,,,
PCB9,,,20210907,8:48,10:07,,Pt Cloates,,83,,,,27,28,19,203,207,39,,RAW2,,,,,,,,,,
PCBP7,,,20210907,8:51,10:15,,Pt Cloates,,80,,,,35,36,26,233,236,66,,RAW2,,,,,,,,,,
PCB28,,,20210907,10:48,11:57,,Pt Cloates,,92,,,,31,32,20,208,215,42,,RAW2,,,,,,,,,,
PCB4,,,20210907,10:51,12:03,,Pt Cloates,,86,,,,41,42,23,218,240,58,,RAW2,,,,,,,,,,
PCBP11,,,20210907,10:54,12:09,,Pt Cloates,,81,,,,37,38,24,242,244,61,,RAW2,,,,,,,,,,
PCBP1,,,20210907,10:57,12:16,,Pt Cloates,,82,,,,39,40,25,246,250,62,,RAW2,,,,,,,,,,
PCB21,,,20210907,11:01,12:22,,Pt Cloates,,82,,,,33,34,21,230,231,55,Snapped bait arm,RAW2,,,,,,,,,,
PCB16,,,20210907,11:03,12:28,,Pt Cloates,,78,,,,27,28,19,203,207,39,Bait arm snapped,RAW2,,,,,,,,,,
PCBP16,,,20210907,11:09,12:36,,Pt Cloates,,91,,,,35,36,26,233,236,66,,RAW2,,,,,,,,,,
PCB13,,,20210907,12:47,13:48,,Pt Cloates,,82,,,,31,32,20,208,215,58,,RAW2,,,,,,,,,,
PCB11,,,20210907,12:50,12:54,,Pt Cloates,,90,,,,41,42,23,218,240,61,,RAW2,,,,,,,,,,
PCB29,,,20210907,12:54,14:01,,Pt Cloates,,79,,,,37,38,24,242,244,62,Had lost a weight,RAW2,,,,,,,,,,
PCBP6,,,20210907,12:58,14:07,,Pt Cloates,,83,,,,39,40,25,246,250,55,Deleted mark by accident,RAW2,,,,,,,,,,
PCB25,,,20210907,13:02,14:13,,Pt Cloates,,89,,,,33,34,21,230,231,39,,RAW2,,,,,,,,,,
PCB3,,,20210907,13:06,14:20,,Pt Cloates,,90,,,,27,28,19,203,207,66,Went to 2 instead of 3,RAW2,,,,,,,,,,
PCB2,,,20210907,13:14,14:25,,Pt Cloates,,82,,,,35,36,26,233,236,42,Went to 3 instead of 2,RAW2,,,,,,,,,,
PCBP3,,,20210907,14:46,15:46,,Pt Cloates,,90,,,,31,32,20,208,215,58,2 big rankins,RAW2,,,,,,,,,,
PCB12,,,20210907,14:48,15:53,,Pt Cloates,,83,,,,41,42,23,218,240,61,,RAW2,,,,,,,,,,
PCBP14,,,20210907,14:55,16:01,,Pt Cloates,,83,,,,37,38,24,242,244,62,Lots of trevally,RAW2,,,,,,,,,,
PCBP13,,,20210907,15:01,16:10,,Pt Cloates,,91,,,,39,40,25,246,250,55,,RAW2,,,,,,,,,,
PCBP17,,,20210907,15:08,16:17,,Pt Cloates,,99,,,,33,34,21,230,231,39,Filmed PCB17 but should be PCBP17,RAW2,,,,,,,,,,
PCBP18,,,20210907,15:21,16:23,,Pt Cloates,,99,,,,27,28,19,203,207,,Filmed PCB18 but should be PCBP18,RAW2,,,,,,,,,,
