"","sample","depth_metadata","longitude","latitude","depth_multibeam"
"1",1.01,"?",113.5404917,-22.84786205,-91.2353134155273
"2",1.02,"?",113.5252875,-22.85016136,-94.3658142089844
"3",1.03,"?",113.51304,-22.84437,-99.9851760864258
"4",1.04,"?",113.5183981,-22.8402743,-96.8145370483398
"5",1.05,"?",113.51601,-22.83417,-97.0591430664062
"6",1.06,"?",113.523387,-22.83153691,-94.2009811401367
"7",2.02,"?",113.5625852,-22.83153691,-81.4178848266602
"8",2.03,"?",113.5659111,-22.82900766,-77.9426040649414
"9",2.04,"?",113.5815904,-22.82440903,-72.7204971313477
"10",2.05,"?",113.5770767,-22.82256957,-72.8135223388672
"11",2.06,"?",113.5716127,-22.82164985,-75.1090240478516
"12",2.07,"?",113.5640106,-22.8191206,-75.1924285888672
"13",3.01,"?",113.5207738,-22.81314238,-97.1210708618164
"14",3.02,"?",113.5262378,-22.81015327,-91.7755889892578
"15",3.03,"?",113.5338398,-22.80693423,-83.435417175293
"16",3.04,"?",113.51938,-22.80608,-98.0081329345703
"17",3.05,"?",113.51626,-22.80532471,-100.437355041504
"18",3.06,"?",113.5105585,-22.80463491,-105.884796142578
"19",4.01,"?",113.49708,-22.80504,-125.022506713867
"20",4.02,"?",113.51077,-22.79001,-111.568206787109
"21",4.03,"?",113.5005807,-22.78991929,-126.771697998047
"22",4.08,"?",113.4984427,-22.78601045,-132.493362426758
"23",4.11,"?",113.496067,-22.78371114,-139.576400756836
"24",4.12,"?",113.4877522,-22.78578052,-160.75993347168
"25",5.02,"?",113.54762,-22.78253,-73.0918502807617
"26",5.03,"?",113.56188,-22.78303,-72.3142547607422
"27",5.07,"?",113.57245,-22.7727833,-72.0540924072266
"28",5.08,"?",113.5716127,-22.76807579,-71.2852096557617
"29",5.11,"?",113.5723254,-22.76278737,-70.7138366699219
"30",5.13,"?",113.58319,-22.76082,-69.2419738769531
"31",6.01,"?",113.53596,-22.77091,-87.3096771240234
"32",6.02,"?",113.55367,-22.75818,-72.1659545898438
"33",6.03,"?",113.54189,-22.75754,-83.3298721313477
"34",6.04,"?",113.5402541,-22.75175065,-89.565544128418
"35",6.05,"?",113.5412044,-22.7411738,-90.8473434448242
"36",6.12,"?",113.541917,-22.73059695,-95.2785949707031
"37",7.01,"85",113.5509445,-22.73427585,-80.3163528442383
"38",7.02,"84",113.5533202,-22.7317466,-78.8932266235352
"39",7.03,"82",113.5554582,-22.72507859,-77.531852722168
"40",7.04,"75",113.5630603,-22.72760784,-70.4291687011719
"41",7.05,"72",113.5732756,-22.72875749,-67.5736236572266
"42",7.08,"72",113.5756513,-22.73059695,-67.5694808959961
"43",8.01,"87",113.5497567,-22.71266228,-89.3302688598633
"44",8.02,"76",113.5559334,-22.70277523,-80.5431747436523
"45",8.05,"63",113.57994,-22.7017,-64.9767227172852
"46",8.06,"61",113.58157,-22.69621,-63.7999420166016
"47",8.07,"63",113.57783,-22.69542,-65.6079559326172
"48",8.12,"95",113.547381,-22.69932625,-100.036582946777
"49",9.01,"?",113.5359779,-22.70139564,-117.836982727051
"50",9.02,"?",113.5214865,-22.7025453,-163.813323974609
"51",9.05,"?",113.5248124,-22.69150858,-175.283752441406
"52",9.06,"?",113.5319393,-22.6931181,-136.283798217773
"53",9.07,"?",113.5255251,-22.71082283,-133.073318481445
"54",9.08,"?",113.5136468,-22.71220242,-178.0595703125
"55",10.01,"93",113.5564085,-22.67587323,-97.9071350097656
"56",10.02,"95",113.5564085,-22.67334399,-99.582160949707
"57",10.03,"88",113.5628228,-22.66874535,-90.7043151855469
"58",10.04,"110",113.5518948,-22.6669059,-115.175025939941
"59",10.07,"138",113.5400165,-22.67311405,-145.090896606445
"60",10.08,"157",113.5383536,-22.67035488,-160.986083984375
"61",10.09,"160",113.55942,-22.62918,-161.533813476562
"62",10.11,"160",113.5636,-22.61773,-165.708923339844
"63",10.12,"136",113.57775,-22.59615,NA
"64",10.13,"78",113.579,-22.638,-81.892578125
"65",10.14,"74",113.5916667,-22.624,-76.1215744018555
"66",10.15,"84",113.594,-22.6058333,-88.7375411987305
"67",11.01,"84",113.6215013,-22.54044354,-88.3963012695312
"68",11.02,"81",113.6248272,-22.5365347,-83.6918487548828
"69",11.03,"79",113.6274404,-22.53377552,-81.3180160522461
"70",11.04,"91",113.6243521,-22.52871703,-95.5149078369141
"71",11.05,"91",113.6255399,-22.52618778,-94.8349151611328
"72",11.06,"77",113.6345674,-22.52388847,-79.6240386962891
"73",12.02,"56",113.67504,-22.46724,-55.722972869873
"74",12.03,"65",113.6678265,-22.46824503,-69.4133453369141
"75",12.04,"70",113.6687767,-22.46433619,-73.4418792724609
"76",12.05,"86",113.6599868,-22.4673253,-87.9934692382812
"77",12.06,"94",113.6573736,-22.46548585,-95.3710403442383
"78",12.11,"100",113.64333,-22.48475,-104.095497131348
"79",13.02,"69",113.7058369,-22.40386419,-75.3170852661133
"80",13.03,"83",113.7013231,-22.39903562,-86.0192489624023
"81",13.04,"92",113.6972845,-22.39765604,-95.7760467529297
"82",13.05,"96",113.6932459,-22.40087508,-101.654029846191
"83",13.06,"94.5",113.6922957,-22.40478391,-97.937858581543
"84",13.08,"85",113.7039364,-22.39328734,-87.6957778930664
"85",14.01,"96",113.72408,-22.32524,-101.168006896973
"86",14.02,"101",113.73251,-22.30284,-107.627716064453
"87",14.03,"109",113.74266,-22.27651,-115.944625854492
"88",14.06,"100",113.79046,-22.17832,-102.080924987793
"89",14.11,"75",113.7371667,-22.3266667,-79.2372207641602
"90",14.12,"82",113.746,-22.3071667,-86.5425567626953
"91",14.13,"101",113.7416667,-22.2866667,-104.915138244629
"92",15.01,"100",113.7915,-22.17344,-103.393676757812
"93",15.02,"100",113.7941,-22.16882,-103.453010559082
"94",15.05,"122",113.78335,-22.16173,-126.195915222168
"95",15.07,"116",113.79163,-22.13639,-119.131301879883
"96",15.12,"110",113.7899349,-22.14381158,-114.318504333496
"97",16.01,"101",113.80074,-22.12155,-106.418952941895
"98",16.02,"145",113.79192,-22.11624,-155.998260498047
"99",16.03,"190",113.7967,-22.10669,NA
"100",16.04,"100",113.8081,-22.09742,-103.071678161621
"101",16.05,"85",113.82563,-22.0856,-89.0943374633789
"102",17.08,"90",113.8193929,-22.0943763,-93.9916076660156
"103",18.01,"91",113.812266,-22.06954369,-101.983238220215
"104",18.02,"91",113.8120284,-22.06517499,-105.027359008789
"105",18.03,"117",113.8082274,-22.06563485,-145.547653198242
"106",18.04,"134",113.810603,-22.06172601,-122.055458068848
"107",18.07,"109",113.8281828,-22.06264574,-96.558349609375
"108",18.08,"96",113.823194,-22.0725328,-98.576301574707
"109",19.01,"107",113.82289,-22.01347,-115.016616821289
"110",19.02,"122",113.821531,-22.00792203,-127.4501953125
"111",19.03,"99",113.8305585,-22.00286353,-102.727104187012
"112",19.04,"109",113.8255696,-22.00056422,-114.831016540527
"113",19.05,"101",113.8291331,-21.99757511,-104.769599914551
"114",19.08,"130",113.8234315,-21.99412613,-136.516448974609
"115",23.01,"102",114.0835652,-21.68647769,-105.451713562012
"116",23.02,"106",114.0785763,-21.68555797,-110.7744140625
"117",23.03,"109",114.0811896,-21.68233893,-114.970436096191
"118",23.04,"110",114.0845155,-21.67980968,-115.122741699219
"119",23.06,"107",114.0944932,-21.67475118,-110.944923400879
"120",23.09,"67",114.0747,-21.706867,-67.7082748413086
"121",30.01,"69",113.90413,-21.91122,-70.589111328125
"122",30.02,"69",113.90722,-21.90687,-69.6625900268555
"123",30.03,"67",113.91082,-21.89999,-71.1850509643555
"124",30.04,"69",113.91423,-21.89513,-71.3357162475586
"125",30.05,"68",113.91801,-21.88983,-71.905647277832
"126",30.06,"66",113.9202,-21.8876,-68.1379470825195
"127",31.01,"77",114.08985,-21.6873167,-79.7877655029297
"128",31.02,"71",114.09,-21.6919667,-72.5438461303711
"129",31.03,"66",114.0887667,-21.69445,-69.0238418579102
"130",31.04,"64",114.0877667,-21.69635,-65.8730087280273
"131",31.05,"67",114.0814333,-21.70045,-70.2548141479492
"132",31.06,"66",114.0774833,-21.7025167,-67.8472290039062
