"scientific","australian.common.name","fishing.type"
"Albulidae Albula argentea","Pacific bonefish","R"
"Carangidae Seriola lalandi","Yellowtail kingfish","C/R"
"Glaucosomatidae Glaucosoma buergeri","Northern pearl perch","C"
"Labridae Choerodon cauteroma","Bluespotted tuskfish","B/R"
"Lethrinidae Gymnocranius grandoculis","Robinson's seabream","C/R"
"Lethrinidae Gymnocranius griseus","Grey seabream","C/R"
"Lethrinidae Gymnocranius sp1",NA,"R"
"Lethrinidae Lethrinus miniatus","Redthroat emperor","C/R"
"Lethrinidae Lethrinus nebulosus","Spangled emperor","C/R"
"Lethrinidae Lethrinus olivaceus","Longnose emperor","C/R"
"Lethrinidae Lethrinus punctulatus","Bluespotted emperor","C/R"
"Lethrinidae Lethrinus ravus","Drab emperor","C"
"Lethrinidae Lethrinus spp",NA,"R"
"Lutjanidae Aphareus rutilans","Rusty jobfish","C/R"
"Lutjanidae Aprion virescens","Green jobfish","R"
"Lutjanidae Lutjanus lemniscatus","Darktail snapper","C/R"
"Lutjanidae Lutjanus sebae","Red emperor","C/R"
"Lutjanidae Lutjanus vitta","Brownstripe snapper","C"
"Lutjanidae Pristipomoides filamentosus","Rosy snapper","C/R"
"Lutjanidae Pristipomoides multidens","Goldband snapper","C"
"Lutjanidae Pristipomoides sp1",NA,"R"
"Lutjanidae Pristipomoides spp",NA,"R"
"Lutjanidae Pristipomoides typus","Sharptooth snapper","C"
"Lutjanidae Symphorus nematophorus","Chinamanfish","C/R"
"Scombridae Scomberomorus commerson","Spanish mackerel","C/R"
"Scombridae Scomberomorus spp",NA,"R"
"Serranidae Epinephelus coioides","Goldspotted rockcod","C/R"
"Serranidae Epinephelus morrhua","Comet grouper","C"
"Serranidae Epinephelus multinotatus","Rankin cod","C/R"
"Serranidae Epinephelus rivulatus","Chinaman rockcod","R"
"Serranidae Plectropomus spp",NA,"R"
"Serranidae Variola louti","Yellowedge coronation trout","C/R"
"Sparidae Argyrops spinifer","Frypan bream","C"
"Sparidae Chrysophrys auratus","Pink snapper","C/R"
"Sparidae Dentex carpenteri","Yellow snout seabream","C"
