"lon","lat","site","method","dropcode"
113.756453602752,-22.2998466434589,"Yardie","BRUV","B1"
113.726490414598,-22.3453522935495,"Yardie","BRUV","B2"
113.733542267564,-22.3337692902725,"Yardie","BRUV","B3"
113.748269930896,-22.2980448053232,"Yardie","BRUV","B4"
113.749061816515,-22.3038085225193,"Yardie","BRUV","B5"
113.719273237007,-22.3584724233246,"Yardie","BRUV","B6"
113.728855267013,-22.3372334090774,"Yardie","BRUV","B7"
113.744805721274,-22.3168340933086,"Yardie","BRUV","B8"
113.727236221439,-22.3487699375702,"Yardie","BRUV","B9"
113.723311027572,-22.35650887181,"Yardie","BRUV","B10"
113.740609818006,-22.313113850047,"Yardie","BRUV","B11"
113.747857866257,-22.3116822352918,"Yardie","BRUV","B12"
113.725778888886,-22.3436943048456,"Yardie","BRUV","B13"
113.738093337387,-22.3233567005092,"Yardie","BRUV","B14"
113.755816422904,-22.3019787599764,"Yardie","BRUV","B15"
113.738437121805,-22.3310236846084,"Yardie","BRUV","B16"
